Number of Learning Problems, Population Size, Average Fitness, Average Specificity, Macro Classifier Proportion, Average Number of Steps to Goal
50, 0, 0.0, NaN, 0.0, 1.01
100, 0, 0.0, NaN, 0.0, 1.01
150, 0, 0.0, NaN, 0.0, 1.01
200, 0, 0.0, NaN, 0.0, 1.01
250, 0, 0.0, NaN, 0.0, 1.01
300, 0, 0.0, NaN, 0.0, 1.01
350, 0, 0.0, NaN, 0.0, 1.01
400, 0, 0.0, NaN, 0.0, 1.01
450, 0, 0.0, NaN, 0.0, 1.01
500, 0, 0.0, NaN, 0.0, 1.01
550, 0, 0.0, NaN, 0.0, 1.01
600, 0, 0.0, NaN, 0.0, 1.01
650, 0, 0.0, NaN, 0.0, 1.01
700, 0, 0.0, NaN, 0.0, 1.01
750, 0, 0.0, NaN, 0.0, 1.01
800, 0, 0.0, NaN, 0.0, 1.01
850, 0, 0.0, NaN, 0.0, 1.01
900, 0, 0.0, NaN, 0.0, 1.01
950, 0, 0.0, NaN, 0.0, 1.01
1000, 0, 0.0, NaN, 0.0, 1.01
1050, 0, 0.0, NaN, 0.0, 1.01
1100, 0, 0.0, NaN, 0.0, 1.01
1150, 0, 0.0, NaN, 0.0, 1.01
1200, 0, 0.0, NaN, 0.0, 1.01
1250, 0, 0.0, NaN, 0.0, 1.01
1300, 0, 0.0, NaN, 0.0, 1.01
1350, 0, 0.0, NaN, 0.0, 1.01
1400, 0, 0.0, NaN, 0.0, 1.01
1450, 0, 0.0, NaN, 0.0, 1.01
1500, 0, 0.0, NaN, 0.0, 1.01
1550, 0, 0.0, NaN, 0.0, 1.01
1600, 0, 0.0, NaN, 0.0, 1.01
1650, 0, 0.0, NaN, 0.0, 1.01
1700, 0, 0.0, NaN, 0.0, 1.01
1750, 0, 0.0, NaN, 0.0, 1.01
1800, 0, 0.0, NaN, 0.0, 1.01
1850, 0, 0.0, NaN, 0.0, 1.01
1900, 0, 0.0, NaN, 0.0, 1.01
1950, 0, 0.0, NaN, 0.0, 1.01
2000, 0, 0.0, NaN, 0.0, 1.01
2050, 0, 0.0, NaN, 0.0, 1.01
2100, 0, 0.0, NaN, 0.0, 1.01
2150, 0, 0.0, NaN, 0.0, 1.01
2200, 0, 0.0, NaN, 0.0, 1.01
2250, 0, 0.0, NaN, 0.0, 1.01
2300, 0, 0.0, NaN, 0.0, 1.01
2350, 0, 0.0, NaN, 0.0, 1.01
2400, 0, 0.0, NaN, 0.0, 1.01
2450, 0, 0.0, NaN, 0.0, 1.01
2500, 0, 0.0, NaN, 0.0, 1.01
2550, 0, 0.0, NaN, 0.0, 1.01
2600, 0, 0.0, NaN, 0.0, 1.01
2650, 0, 0.0, NaN, 0.0, 1.01
2700, 0, 0.0, NaN, 0.0, 1.01
2750, 0, 0.0, NaN, 0.0, 1.01
2800, 0, 0.0, NaN, 0.0, 1.01
2850, 0, 0.0, NaN, 0.0, 1.01
2900, 0, 0.0, NaN, 0.0, 1.01
2950, 0, 0.0, NaN, 0.0, 1.01
3000, 0, 0.0, NaN, 0.0, 1.01
3050, 0, 0.0, NaN, 0.0, 1.01
3100, 0, 0.0, NaN, 0.0, 1.01
3150, 0, 0.0, NaN, 0.0, 1.01
3200, 0, 0.0, NaN, 0.0, 1.01
3250, 0, 0.0, NaN, 0.0, 1.01
3300, 0, 0.0, NaN, 0.0, 1.01
3350, 0, 0.0, NaN, 0.0, 1.01
3400, 0, 0.0, NaN, 0.0, 1.01
3450, 0, 0.0, NaN, 0.0, 1.01
3500, 0, 0.0, NaN, 0.0, 1.01
3550, 0, 0.0, NaN, 0.0, 1.01
3600, 0, 0.0, NaN, 0.0, 1.01
3650, 0, 0.0, NaN, 0.0, 1.01
3700, 0, 0.0, NaN, 0.0, 1.01
3750, 0, 0.0, NaN, 0.0, 1.01
3800, 0, 0.0, NaN, 0.0, 1.01
3850, 0, 0.0, NaN, 0.0, 1.01
3900, 0, 0.0, NaN, 0.0, 1.01
3950, 0, 0.0, NaN, 0.0, 1.01
4000, 0, 0.0, NaN, 0.0, 1.01
4050, 0, 0.0, NaN, 0.0, 1.01
4100, 0, 0.0, NaN, 0.0, 1.01
4150, 0, 0.0, NaN, 0.0, 1.01
4200, 0, 0.0, NaN, 0.0, 1.01
4250, 0, 0.0, NaN, 0.0, 1.01
4300, 0, 0.0, NaN, 0.0, 1.01
4350, 0, 0.0, NaN, 0.0, 1.01
4400, 0, 0.0, NaN, 0.0, 1.01
4450, 0, 0.0, NaN, 0.0, 1.01
4500, 0, 0.0, NaN, 0.0, 1.01
4550, 0, 0.0, NaN, 0.0, 1.01
4600, 0, 0.0, NaN, 0.0, 1.01
4650, 0, 0.0, NaN, 0.0, 1.01
4700, 0, 0.0, NaN, 0.0, 1.01
4750, 0, 0.0, NaN, 0.0, 1.01
4800, 0, 0.0, NaN, 0.0, 1.01
4850, 0, 0.0, NaN, 0.0, 1.01
4900, 0, 0.0, NaN, 0.0, 1.01
4950, 0, 0.0, NaN, 0.0, 1.01
5000, 0, 0.0, NaN, 0.0, 1.01
