Number of Learning Problems, Population Size, Average Fitness, Average Specificity, Macro Classifier Proportion, Average Number of Steps to Goal
50, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
100, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
150, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
200, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
250, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
300, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
350, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
400, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
450, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
500, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
550, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
600, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
650, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
700, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
750, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
800, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
850, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
900, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
950, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
1000, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
1050, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
1100, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
1150, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
1200, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
1250, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
1300, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
1350, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
1400, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
1450, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
1500, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
1550, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
1600, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
1650, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
1700, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
1750, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
1800, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
1850, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
1900, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
1950, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
2000, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
2050, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
2100, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
2150, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
2200, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
2250, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
2300, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
2350, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
2400, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
2450, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
2500, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
2550, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
2600, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
2650, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
2700, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
2750, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
2800, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
2850, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
2900, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
2950, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
3000, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
3050, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
3100, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
3150, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
3200, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
3250, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
3300, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
3350, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
3400, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
3450, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
3500, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
3550, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
3600, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
3650, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
3700, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
3750, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
3800, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
3850, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
3900, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
3950, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
4000, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
4050, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
4100, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
4150, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
4200, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
4250, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
4300, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
4350, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
4400, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
4450, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
4500, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
4550, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
4600, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
4650, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
4700, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
4750, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
4800, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
4850, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
4900, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
4950, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
5000, 2, 0.04610824140930864, NaN, 0.034999999999999996, 1.01
